Managing Agency ID,Managing Agency Name,Managing Sub-agency or Bureau Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name,International Category Name,International Sector Name,International Purpose Name,US Category Name,US Sector Name,Funding Account Name,Funding Agency Name,Funding Agency Acronym,Activity ID,Activity Name,Activity Description,Activity Project Number,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
6,Department of Health and Human Services,Centers for Disease Control and Prevention,Multilateral,Multilateral - United Nations,World Health Organisation,Health and Population,Basic Health,Infectious disease control,Health,Pandemic Influenza and Other Emerging Threats (PIOET),"Centers for Disease Control, Disease Control, Research, and Training",Department of Health and Human Services,HHS,413612,Global Measles Immunization Initiatives through the World Health Organization.,"Global Measles Immunization Initiatives through the World Health Organization. The Measles Initiative, launched in 2001, is a partnership committed to reducing measles deaths    globally, with the goal of cutting measles deaths by 90 percent by 2010 compared with estimates from 2000.    Through the Initiative, CDC provides technical assistance to host governments to help plan, implement, and    evaluate immunization programs, including operations research, and provides funds to purchase bundled measles    vaccine for mass vaccination campaigns.",CDI -            .,2007,10135,12859
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,Cooperative de Samou-Naka,Economic Growth,Industry,Agro-industries,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,31911,Matameye Women's Peanut Oil Production Project,Women's peanut oil producers' cooperative is investing funds in improved storage facilities and bulk purchase of peanut stocks.,1597,2007,5035,6388
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of State,Other,Other Multisector,Multisector aid,Education and Social Services,Social Assistance,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,121564,Development Assistance - Development Assistance,Development Assistance - Development Assistance,698-001,2007,-27632,-35057
1,U.S. Agency for International Development,Bureau for Africa,Government,Government - United States,U.S. Government - Department of State,Governance,Government and Civil Society,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",Good Governance,"Agency for International Development, Development Assistance",U.S. Agency for International Development,USAID,118977,98SO 1 D/G:STRENGTHEN CROSS-SECTORAL SYNERGIES BETWEEN D/G,Strengthen cross-sectoral synergies between democracy and governance and Africa Bureau programs in key areas,698-013,2007,-61065,-77476
6,Department of Health and Human Services,Centers for Disease Control and Prevention,Multilateral,Multilateral - United Nations,United Nations Children's Fund,Health and Population,Basic Health,Infectious disease control,Health,Pandemic Influenza and Other Emerging Threats (PIOET),"Centers for Disease Control, Disease Control, Research, and Training",Department of Health and Human Services,HHS,413722,Polio Eradication. Oral Polio Vaccine purchase through UNICEF.,"Polio Eradication. Oral Polio Vaccine purchase through UNICEF. CDC has provided epidemiologic, laboratory, programmatic expertise, and funding support    to help polio-endemic countries with polio eradication activities.  The Global Polio Eradication Initiative     goal is to eradicate polio and certify the world as polio-free as soon as possible.",CDI -            .,2006,3215502,4191541
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195595,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Commodity Cost of Corn Soya Blend / Approximate Number of people fed: 2,684 / Metric Tons: 9,600.",,2006,2496000,3253640
16,Peace Corps,not applicable,Government,Government - United States,U.S. Government - Peace Corps,Other,Other Multisector,Multisector aid,Economic Development,Economic Opportunity,Peace Corps,Peace Corps,PC,63054,U.S. Peace Corps In-Country Funding,"U.S. Peace Corps In-Country Funding for Trainees, Volunteers, and Peace Corps Response (formerly Crisis Corps) Volunteers.  Peace Corps volunteers work primarily in the areas of agriculture, business development, education, environment, health and HIV/AIDS and youth.",,2006,2268494,2957077
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207416,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Ocean Freight of Corn Soya Blend / Approximate Number of people fed: 2,684 / Metric Tons: 9,600.",,2006,1728000,2252520
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,197192,ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost,USAID Title II Food Aid for Direct Support Cost through World Food Program.  ITSH Freight Cost of Direct Support Cost.,,2006,1589300,2071719
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Education and Social Services,Social Services,Public Law 480 Title II Grants,Department of Agriculture,AGR,194651,Commodity Cost of USAID Title II Food Aid for Monetization (Direct Feeding),"USAID Title II Food Aid for Monetization (Direct Feeding) through Africare.  Commodity Cost of Rice, bagged / Metric Tons: 3,950.",,2006,1224500,1596187
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,United Nations Children's Fund,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126964,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,1199000,1562946
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195961,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Commodity Cost of Vegetable Oil, 4Liter / Metric Tons: 1,300.",,2006,1170000,1525144
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201500,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Inland Freight Cost of Corn Soya Blend / Approximate Number of people fed: 2,684 / Metric Tons: 9,600.",,2006,1090100,1420991
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207737,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Ocean Freight of Sorghum, bagged / Metric Tons: 5,100.",,2006,918000,1196651
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195723,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Commodity Cost of Cornmeal / Metric Tons: 3,600.",,2006,900000,1173188
5,Department of Agriculture,Foreign Agricultural Service,Church and Faith Based,Church and Faith Based - United States,Catholic Relief Services,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,3480,"Commodity Cost of Food Aid under Food For Progress Title I, Commodity Credit Corporation Purchase Program","Food Aid (Food For Progress Title I, Commodity Credit Corporation Purchase) Commodity Cost for Wheat, Hard Red Winter [2,450 metric tons] - through Catholic Relief Services",FCC-683-5/07,2006,884453,1152921
2,Department of State,Diplomatic Security,Government,Government - United States,U.S. Government - Department of State,Governance,Government and Civil Society,Countering violent extremism,Peace and Security,Counter-Terrorism,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Department of State,STATE,66073,Anti-Terrorism Assistance,"Anti-Terrorism Assistance, State Department NADR Funds",,2006,839410,1094206
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Education and Social Services,Social Services,Public Law 480 Title II Grants,Department of Agriculture,AGR,206473,Ocean Freight of USAID Title II Food Aid for Monetization (Direct Feeding),"USAID Title II Food Aid for Monetization (Direct Feeding) through Africare.  Ocean Freight of Rice, bagged / Metric Tons: 3,950.",,2006,711000,926818
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198512,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  ITSH Freight Cost of Corn Soya Blend / Approximate Number of people fed: 2,684 / Metric Tons: 9,600.",,2006,703700,917302
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195924,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Commodity Cost of Sorghum, bagged / Metric Tons: 5,100.",,2006,673200,877544
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207538,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Ocean Freight of Cornmeal / Metric Tons: 3,600.",,2006,648000,844695
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,149727,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,640194,834520
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201679,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Inland Freight Cost of Sorghum, bagged / Metric Tons: 5,100.",,2006,578000,753447
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - Non United States,VSF International,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,127000,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,557062,726154
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Education and Social Services,Social Services,Public Law 480 Title II Grants,Department of Agriculture,AGR,201173,Inland Freight Cost of USAID Title II Food Aid for Monetization (Direct Feeding),"USAID Title II Food Aid for Monetization (Direct Feeding) through Africare.  Inland Freight Cost of Rice, bagged / Metric Tons: 3,950.",,2006,553000,720859
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Church and Faith Based,Church and Faith Based - United States,Catholic Relief Services,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126930,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,517886,675086
5,Department of Agriculture,Foreign Agricultural Service,Church and Faith Based,Church and Faith Based - United States,Catholic Relief Services,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,3482,"Freight Cost of Food Aid under Food For Progress Title I, Commodity Credit Corporation Purchase Program","Food Aid (Food For Progress Title I, Commodity Credit Corporation Purchase) Freight Cost for Wheat, Hard Red Winter [2,450 metric tons] - through Catholic Relief Services",FCC-683-5/07,2006,499164,650681
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,208802,Section 202e Cost of USAID Title II Food Aid for Section 202e: Section of USAID's P.L. 480 authorizing funds to support Title II activities,USAID Title II Food Aid for Section 202e: Section of USAID's P.L. 480 authorizing funds to support Title II activities through World Food Program.  Section 202e Cost of Section 202E.,,2006,453100,590635
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201559,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Inland Freight Cost of Cornmeal / Metric Tons: 3,600.",,2006,408000,531845
4,Department of the Treasury,Office of Technical Assistance,Government,Government - United States,U.S. Government - Department of Treasury,Governance,Government and Civil Society,Public finance management,Economic Development,Trade and Investment,International Affairs Technical Assistance,Department of the Treasury,TREAS,115048,Technical Assistance for Budget Policy and Management,"Technical Assistance Programs provide long-term, resident advisors or short-term, intermittent advisors. Budget Policy and Management Program advisors support finance ministries in an effort to transform their resource allocation processes into modern budget processes that are a government's principal means of formulating and implementing government policy. Assistance is dedicated to strengthening the effectiveness of a ministry of finance and the credibility of budget decisions.",,2006,406018,529261
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198181,ITSH Freight Cost of USAID Title II Food Aid for Indirect Support Cost,USAID Title II Food Aid for Indirect Support Cost through World Food Program.  ITSH Freight Cost of Indirect Support Cost.,,2006,393000,512292
4,Department of the Treasury,Office of Technical Assistance,Government,Government - United States,U.S. Government - Department of Treasury,Governance,Government and Civil Society,Public finance management,Economic Development,Trade and Investment,International Affairs Technical Assistance,Department of the Treasury,TREAS,115192,Technical Assistance for Tax Policy and Administration,"Technical Assistance Programs provide long-term, resident advisors or short-term, intermittent advisors. Tax Policy and Administration Program advisors support ministries of finance and tax authorities in an effort to increase revenue generation, broaden the tax base, and increase compliance in the payment of tax obligations by enterprises and individuals. Assistance is also provided in the development of sound tax laws, revenue estimation systems and on other economic issues.",,2006,391266,510031
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198836,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  ITSH Freight Cost of Sorghum, bagged / Metric Tons: 5,100.",,2006,376200,490392
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195398,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Commodity Cost of Cornmeal / Metric Tons: 1,200.",,2006,300000,391063
1,U.S. Agency for International Development,Bureau for Global Health,NGO,NGO - United States,Helen Keller International,Health and Population,Basic Health,Basic nutrition,Health,Nutrition,"Agency for International Development, Child Survival and Health Programs Fund",U.S. Agency for International Development,USAID,133997,Incr'd Use Of Key Child Health And Nutrition Interventions,Increased use of key child health and nutrition interventions,936-003,2006,300000,391063
7,Department of Defense,Office of Counternarcotics,Government,Government - United States,U.S. Government - Department of Defense,Governance,Other Social Infrastructure and Services,Narcotics control,Peace and Security,Counter-Narcotics,"Department of Defense, Drug Interdiction and Counter-Drug Activities",Department of Defense,DOD,20140,In-Country Counternarcotics Program,"In-Country Counternarcotics Program under U.S. European Command. The U.S. Department of Defense International Counter-Drug Program (ICDP) enables the Secretary of Defense to provide foreign governments with support, such as training and equipment, to combat illicit drug trafficking and transnational organized crime.",,2006,290000,378027
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207229,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Ocean Freight of Sorghum, bagged / Metric Tons: 1,500.",,2006,270000,351956
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198639,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  ITSH Freight Cost of Cornmeal / Metric Tons: 3,600.",,2006,265600,346221
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,144490,Food Insecurity in Vulnerable Populations Reduced,Food Insecurity in Vulnerable Populations Reduced,962-004,2006,260000,338921
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195399,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Commodity Cost of S.F.Cornmeal / Metric Tons: 1,000.",,2006,255000,332403
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201409,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Inland Freight Cost of Sorghum, bagged / Metric Tons: 1,500.",,2006,240000,312850
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207774,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Ocean Freight of Vegetable Oil, 4Liter / Metric Tons: 1,300.",,2006,234000,305029
19,African Development Foundation,not applicable,NGO,NGO - Non United States,Action for Sustainable Integrated Grassroots Development,Other,Other Multisector,Multisector aid,Multi-sector,Multi-sector - Unspecified,African Development Foundation,African Development Foundation,ADF,31994,Partner Agreement,Cooperative Agreement funds are used to provide technical assistance and monitoring oversight to existing USADF projects and aid new project reviews.,1688,2006,226701,295514
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207227,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Ocean Freight of Cornmeal / Metric Tons: 1,200.",,2006,216000,281565
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,195400,Commodity Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Commodity Cost of Sorghum, bagged / Metric Tons: 1,500.",,2006,198000,258101
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201407,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Inland Freight Cost of Cornmeal / Metric Tons: 1,200.",,2006,192000,250280
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,Africare,Humanitarian,Emergency Response,Emergency food assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,144490,Food Insecurity in Vulnerable Populations Reduced,Food Insecurity in Vulnerable Populations Reduced,962-004,2006,185000,241155
5,Department of Agriculture,Foreign Agricultural Service,Church and Faith Based,Church and Faith Based - United States,Catholic Relief Services,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,3479,"Commodity Cost of Food Aid under Food For Progress Title I, Commodity Credit Corporation Purchase Program","Food Aid (Food For Progress Title I, Commodity Credit Corporation Purchase) Commodity Cost for Bulgar [500 metric tons] - through Catholic Relief Services",FCC-683-5/07,2006,184998,241152
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,207228,Ocean Freight of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Ocean Freight of S.F.Cornmeal / Metric Tons: 1,000.",,2006,180000,234638
6,Department of Health and Human Services,Centers for Disease Control and Prevention,Multilateral,Multilateral - United Nations,World Health Organisation,Health and Population,Basic Health,Infectious disease control,Health,Pandemic Influenza and Other Emerging Threats (PIOET),"Centers for Disease Control, Disease Control, Research, and Training",Department of Health and Human Services,HHS,413721,Polio Eradication through the World Health Organization.,"Polio Eradication through the World Health Organization. CDC has provided epidemiologic, laboratory, programmatic expertise, and funding support    to help polio-endemic countries with polio eradication activities.  The Global Polio Eradication Initiative     goal is to eradicate polio and certify the world as polio-free as soon as possible.",CDI -            .,2006,168000,218995
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",NGO,NGO - United States,NGO - United States Redacted,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201408,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through Africare.  Inland Freight Cost of S.F.Cornmeal / Metric Tons: 1,000.",,2006,160000,208567
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,201702,Inland Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  Inland Freight Cost of Vegetable Oil, 4Liter / Metric Tons: 1,300.",,2006,147300,192012
5,Department of Agriculture,Foreign Agricultural Service,Church and Faith Based,Church and Faith Based - United States,Catholic Relief Services,Commodity Assistance,Developmental Food Aid/Food Security Assistance,Food Assistance,Economic Development,Agriculture,Commodity Credit Corporation Fund,Department of Agriculture,AGR,3481,"Freight Cost of Food Aid under Food For Progress Title I, Commodity Credit Corporation Purchase Program","Food Aid (Food For Progress Title I, Commodity Credit Corporation Purchase) Freight Cost for Bulgar [500 metric tons] - through Catholic Relief Services",FCC-683-5/07,2006,121340,158172
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Material relief assistance and services,Humanitarian Assistance,"Protection, Assistance and Solutions","Agency for International Development, International Disaster Assistance",U.S. Agency for International Development,USAID,126970,OFDA/Disaster Response,OFDA/Disaster Response,961-001,2006,116822,152283
2,Department of State,not applicable,NGO,NGO - United States,National Endowment for Democracy,Governance,Government and Civil Society,Democratic participation and civil society,"Democracy, Human Rights, and Governance",Civil Society,"Department of State, National Endowment for Democracy",Department of State,STATE,61391,National Endowment for Democracy Grant,"National Endowment for Democracy Grant. The National Endowment for Democracy (NED) is a private, nonprofit foundation dedicated to the growth and strengthening of democratic institutions around the world. Each year, NED makes more than 2,000 grants to support the projects of non-governmental groups abroad who are working for democratic goals in more than 100 countries.",,2006,110000,143390
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,Agui Cooperative of Sesame Producers (Cooprative des Producteurs de Ssame Agui),Agriculture,Agriculture,Food crop production,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,31594,Aguie Sesame Production and Marketing Capacity Bldg,Sesame Production and Marketing,1696,2006,99999,130353
19,African Development Foundation,not applicable,Enterprises,Enterprises - Non United States,Tiger Nut Producers Federation,Agriculture,Agriculture,Industrial crops/export crops,Economic Development,Agriculture,African Development Foundation,African Development Foundation,ADF,31902,Maradi Tiger Nuts Producers' Capacity Building,Maradi Tiger Nut Producers Capacity Building,1693,2006,97613,127243
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198875,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,"USAID Title II Food Aid for Other Emergency through World Food Program.  ITSH Freight Cost of Vegetable Oil, 4Liter / Metric Tons: 1,300.",,2006,95900,125010
1,U.S. Agency for International Development,"Bureau for Democracy, Conflict and Humanitarian Assistance",Multilateral,Multilateral - United Nations,World Food Program,Humanitarian,Emergency Response,Emergency food assistance,Humanitarian Assistance,"Protection, Assistance and Solutions",Public Law 480 Title II Grants,Department of Agriculture,AGR,198338,ITSH Freight Cost of USAID Title II Food Aid for Other Direct Costs,USAID Title II Food Aid for Other Direct Costs through World Food Program.  ITSH Freight Cost of Other Direct Operation.,,2006,86500,112756
